180,18,05/23/2015,12/30/2018
188,5,11/14/2014,07/07/2019
181,5,03/30/2012,12/28/2017
174,12,04/10/2013,12/05/2017
195,15,11/20/2014,06/27/2021
200,22,11/20/2016,05/11/2017
135,14,04/20/2011,08/27/2020
195,10,05/05/2016,08/25/2022
121,6,01/09/2010,02/24/2016
119,23,03/16/2010,09/09/2018
134,18,02/07/2017,09/03/2017
165,21,03/24/2017,06/25/2021
175,8,09/25/2014,07/17/2020
196,22,04/19/2018,09/02/2020
166,8,04/22/2016,05/18/2021
134,9,01/13/2010,04/27/2014
192,6,09/16/2010,12/27/2021
106,19,02/02/2011,09/19/2012
100,17,02/05/2019,06/07/2022
199,21,02/12/2013,03/10/2015
141,10,12/08/2015,04/16/2022
109,23,11/22/2018,12/18/2020
166,25,06/30/2012,05/06/2014
112,10,06/12/2015,08/17/2015
150,9,09/07/2020,10/29/2023
174,15,07/06/2017,02/02/2020
118,6,03/16/2017,12/01/2019
167,11,10/02/2020,03/10/2021
180,24,01/27/2016,09/07/2019
137,18,02/24/2011,11/21/2015
170,7,08/13/2010,03/06/2016
194,20,11/17/2012,07/27/2020
168,17,04/23/2010,12/29/2014
167,3,08/01/2012,07/02/2022
182,20,03/02/2012,03/15/2022
108,5,02/11/2012,04/13/2018
141,24,06/07/2011,03/06/2015
119,7,04/03/2020,08/29/2021
145,16,05/01/2012,09/05/2016
166,13,11/29/2010,11/10/2016
198,25,07/11/2011,07/16/2012
185,5,12/25/2013,08/20/2023
170,12,11/21/2011,07/24/2022
146,15,03/06/2013,10/19/2023
199,3,07/28/2011,12/25/2018
130,7,06/23/2012,11/10/2017
178,17,12/10/2021,04/18/2023
115,23,12/02/2010,08/06/2014
103,11,08/09/2016,08/03/2021
121,21,12/25/2014,11/20/2016
114,11,06/28/2014,12/02/2021
144,11,01/11/2017,05/01/2022
192,7,04/12/2017,07/06/2020
172,15,04/09/2013,02/21/2020
158,23,08/03/2015,10/26/2016
192,21,12/13/2018,09/28/2022
173,9,02/09/2018,06/04/2019
108,20,01/14/2013,01/09/2019
107,24,10/05/2017,01/10/2021
104,20,08/14/2021,08/23/2021
122,3,02/16/2015,06/15/2023
187,3,09/18/2010,05/10/2018
143,3,06/09/2011,04/09/2014
143,5,11/06/2015,12/20/2015
106,11,11/08/2018,10/02/2022
200,9,05/28/2011,09/06/2017
139,7,11/12/2012,06/18/2017
153,19,10/05/2019,08/16/2022
195,22,08/01/2019,08/08/2021
135,14,05/17/2013,02/11/2020
138,25,06/01/2010,07/12/2023
154,7,07/04/2018,11/30/2020
190,19,12/23/2018,03/01/2022
112,21,11/07/2010,02/26/2017
109,12,09/01/2015,01/21/2017
150,12,10/20/2010,11/26/2018
186,21,09/25/2012,05/11/2016
149,11,09/21/2014,11/09/2023
105,10,06/30/2017,11/07/2022
125,14,06/01/2020,03/21/2023
183,11,03/04/2011,06/22/2020
116,13,09/28/2013,02/08/2014
119,10,01/26/2016,02/11/2019
122,23,07/12/2015,04/01/2021
111,17,02/28/2017,08/09/2019
148,18,09/22/2022,05/04/2023
135,16,04/09/2011,03/26/2022
173,11,09/15/2019,11/03/2022
101,23,08/31/2012,08/02/2014
104,11,04/08/2013,01/28/2019
144,14,05/18/2011,03/22/2020
103,18,02/28/2014,09/21/2021
157,3,08/29/2015,11/27/2023
129,18,06/29/2012,05/11/2022
170,9,01/23/2010,05/04/2023
166,21,02/27/2014,06/28/2021
193,4,06/21/2017,03/19/2023
119,18,12/28/2009,03/03/2015
191,21,08/12/2017,03/30/2019
161,15,05/05/2014,02/01/2015
160,5,05/06/2011,12/04/2022
118,9,09/27/2019,09/22/2021
192,7,01/18/2010,06/09/2011
109,23,07/12/2020,11/11/2020
108,13,01/28/2010,05/30/2014
193,18,02/11/2013,07/17/2014
133,9,09/27/2016,02/05/2023
169,19,06/28/2022,03/23/2023
108,6,09/08/2012,01/08/2015
127,12,04/22/2010,10/29/2015
137,10,03/20/2017,06/10/2020
183,15,06/26/2010,01/03/2016
150,24,05/29/2012,02/05/2020
189,24,12/16/2012,09/13/2017
131,21,12/23/2016,09/10/2018
131,17,11/24/2014,08/05/2022
183,2,08/25/2013,12/17/2021
174,18,03/31/2018,07/16/2020
107,11,05/24/2013,06/12/2019
126,10,11/18/2011,07/05/2015
105,10,03/23/2018,12/28/2019
172,15,04/22/2015,04/06/2020
138,5,06/18/2017,09/23/2022
164,20,08/05/2011,10/07/2021
155,10,10/06/2013,08/14/2017
121,23,12/12/2019,08/19/2020
118,17,05/17/2016,08/04/2021
123,23,07/11/2011,05/26/2018
196,5,07/18/2020,11/25/2021
147,3,11/21/2013,03/07/2023
196,23,01/27/2014,10/16/2014
189,6,08/28/2017,08/27/2023
153,11,02/19/2019,06/20/2022
130,15,10/16/2019,04/09/2021
141,13,10/04/2019,07/24/2021
129,17,08/29/2018,10/05/2021
159,22,12/09/2016,04/29/2019
139,7,08/31/2014,04/20/2018
197,24,01/01/2010,10/04/2022
108,9,12/15/2011,04/12/2020
117,24,02/01/2013,05/06/2021
106,4,09/15/2014,07/22/2017
175,6,01/19/2020,02/24/2020
123,20,06/23/2012,08/31/2013
185,20,06/02/2021,09/19/2021
147,14,07/06/2020,11/24/2021
110,5,06/03/2015,03/07/2017
195,7,02/23/2014,09/25/2014
187,6,01/03/2012,03/26/2015
185,4,07/29/2012,05/28/2022
105,2,04/18/2012,05/07/2019
121,13,01/26/2015,04/23/2022
164,19,03/02/2010,06/11/2013
122,14,06/23/2014,05/07/2022
192,18,07/12/2016,09/08/2018
159,13,05/05/2017,09/08/2020
173,7,09/17/2013,03/02/2015
148,3,02/03/2015,01/27/2016
110,7,03/29/2013,12/27/2018
168,19,04/17/2010,09/14/2015
196,12,05/10/2019,10/10/2019
122,5,01/24/2016,07/23/2022
131,4,05/04/2019,09/24/2020
150,15,03/11/2016,06/30/2016
197,12,11/03/2023,11/20/2023
178,14,01/24/2016,06/16/2021
157,22,09/24/2016,03/01/2020
130,15,05/04/2010,07/21/2020
132,16,06/09/2018,12/18/2023
186,24,04/06/2012,09/05/2015
124,21,12/24/2014,12/28/2021
100,21,07/07/2014,12/14/2016
141,24,03/11/2011,09/04/2020
199,25,05/19/2010,04/14/2014
165,10,03/05/2010,03/20/2021
127,4,02/14/2018,06/17/2018
195,14,06/13/2018,07/09/2018
195,23,09/16/2019,09/14/2021
135,13,07/20/2012,08/16/2013
102,23,12/25/2013,08/16/2019
198,7,12/07/2011,11/19/2015
133,2,10/01/2011,07/24/2012
190,14,08/22/2018,10/14/2020
101,11,06/07/2014,11/18/2021
104,7,07/13/2013,04/09/2022
195,12,01/28/2010,04/14/2013
116,21,03/11/2015,11/21/2016
181,5,03/28/2010,01/11/2014
108,10,03/13/2021,04/10/2022
141,10,05/27/2012,10/09/2020
156,13,08/29/2012,06/07/2017
109,10,05/20/2016,07/02/2016
199,11,01/13/2011,02/20/2015
187,10,01/19/2012,05/02/2013
125,16,05/20/2010,09/10/2010
108,13,07/12/2016,06/15/2023
195,17,02/07/2017,12/21/2017
133,12,02/27/2014,06/29/2020
103,13,05/10/2018,06/30/2022
126,20,09/19/2014,06/16/2022
177,25,02/16/2018,03/23/2019
174,8,05/02/2014,09/12/2023
138,21,03/31/2016,09/08/2022
132,22,10/20/2015,10/12/2021
148,12,06/11/2015,08/10/2017
126,11,09/03/2018,12/03/2021
161,12,08/30/2011,03/26/2022
161,16,05/16/2013,06/08/2022
165,12,03/13/2013,02/24/2016
147,8,02/24/2015,12/08/2015
117,19,08/30/2010,05/16/2018
128,9,05/07/2018,06/28/2019
163,15,11/15/2011,05/12/2015
180,16,08/07/2016,07/11/2019
119,8,06/23/2012,10/30/2016
168,13,04/12/2013,10/13/2016
164,4,02/16/2013,01/14/2023
153,17,06/27/2015,10/03/2017
178,15,08/01/2010,01/03/2022
130,20,05/21/2012,03/26/2019
